Symbol,entry date,Entry Point,exit date,Exit Point,Stop Loss,Wins,Losses,Profit/loss
YESBANK.NS,2021-11-23,12.550000190734863,2021-12-23,13.550000190734863,15.790499811172484,1,3,-9.949999809265137
YESBANK.NS,2022-02-15,13.5,2022-04-13,14.550000190734863,15.790499811172484,2,3,-8.899999618530273
YESBANK.NS,2022-05-23,13.75,2022-07-21,14.300000190734863,15.790499811172484,3,3,-8.34999942779541
YESBANK.NS,2022-10-11,16.149999618530273,2022-11-22,17.049999237060547,15.790499811172484,4,3,-7.449999809265137
WHIRLPOOL.NS,2020-08-18,2022.5999755859375,2020-09-15,2225.60009765625,1306.8,1,0,203.0001220703125
WHIRLPOOL.NS,2020-10-16,2064.89990234375,2020-11-26,2120.800048828125,1306.8,2,0,258.9002685546875
WHIRLPOOL.NS,2021-02-24,2422.75,2021-06-15,2351.199951171875,1306.8,2,1,187.3502197265625
WHIRLPOOL.NS,2021-08-03,2165.199951171875,2021-09-17,2246.89990234375,1306.8,3,1,269.0501708984375
WHIRLPOOL.NS,2021-11-11,2317.050048828125,2022-04-29,1623.550048828125,1306.8,3,2,-424.4498291015625
WHIRLPOOL.NS,2022-05-12,1559.1500244140625,2022-07-15,1692.800048828125,1306.8,4,2,-290.7998046875
WHIRLPOOL.NS,2022-09-23,1655.699951171875,2023-03-29,1294.199951171875,1306.8,4,3,-652.2998046875
ZEEL.NS,2020-07-17,157.39999389648438,2020-08-26,211.5,195.12900604248046,1,0,54.100006103515625
ZEEL.NS,2020-10-19,174.1999969482422,2020-12-03,204.5,195.12900604248046,2,0,84.40000915527344
ZEEL.NS,2021-02-18,211.75,2021-06-03,219.60000610351562,195.12900604248046,3,0,92.25001525878906
ZEEL.NS,2021-07-27,200.5500030517578,2021-09-21,255.6999969482422,195.12900604248046,4,0,147.40000915527344
ZEEL.NS,2022-01-11,324.70001220703125,2022-04-04,302.75,195.12900604248046,4,1,125.44999694824219
ZEEL.NS,2022-05-10,232.64999389648438,2022-08-01,253.1999969482422,195.12900604248046,5,1,146.0
ZEEL.NS,2022-11-15,260.1499938964844,2023-04-13,208.14999389648438,195.12900604248046,5,2,94.0
HATSUN.NS,2021-01-25,726.6500244140625,2021-03-10,772.4500122070312,841.5494879150391,1,0,45.79998779296875
HATSUN.NS,2021-11-16,1339.199951171875,2022-03-28,1095.9000244140625,841.5494879150391,1,1,-197.49993896484375
HATSUN.NS,2022-04-18,1074.300048828125,2022-07-19,951.2000122070312,841.5494879150391,1,2,-320.5999755859375
HATSUN.NS,2022-10-17,1017.5999755859375,2023-03-08,897.6500244140625,841.5494879150391,1,3,-440.5499267578125
ACC.NS,2020-09-15,1386.9000244140625,2020-10-08,1517.9000244140625,1739.43,1,0,131.0
ACC.NS,2020-12-28,1622.449951171875,2021-01-18,1701.5,1739.43,2,0,210.050048828125
ACC.NS,2021-10-06,2203.25,2021-11-12,2571.949951171875,1739.43,3,0,578.75
ACC.NS,2021-12-14,2320.14990234375,2022-01-31,2285.75,1739.43,3,1,544.35009765625
ACC.NS,2022-02-28,2089.14990234375,2022-04-20,2208.25,1739.43,4,1,663.4501953125
ACC.NS,2022-06-06,2138.25,2022-07-22,2191.949951171875,1739.43,5,1,717.150146484375
ACC.NS,2022-10-19,2246.449951171875,2022-11-23,2458.89990234375,1739.43,6,1,929.60009765625
BHARATFORG.NS,2020-10-08,467.29998779296875,2020-11-11,499.75,797.494487915039,1,0,32.45001220703125
BHARATFORG.NS,2021-03-18,587.0999755859375,2021-05-12,664.6500244140625,797.494487915039,2,0,110.00006103515625
BHARATFORG.NS,2021-08-27,729.4500122070312,2021-10-27,781.25,797.494487915039,3,0,161.800048828125
BHARATFORG.NS,2021-12-01,699.8499755859375,2022-01-19,758.3499755859375,797.494487915039,4,0,220.300048828125
BHARATFORG.NS,2022-02-21,684.4000244140625,2022-04-11,740.0999755859375,797.494487915039,5,0,276.0
BHARATFORG.NS,2022-05-17,678.1500244140625,2022-07-26,704.0499877929688,797.494487915039,6,0,301.89996337890625
BHARATFORG.NS,2022-10-11,774.1500244140625,2022-10-27,821.2000122070312,797.494487915039,7,0,348.949951171875
LAURUSLABS.NS,2020-11-19,268.5,2020-12-16,338.95001220703125,309.07801208496096,1,0,70.45001220703125
LAURUSLABS.NS,2021-03-17,349.20001220703125,2021-04-07,420.6499938964844,309.07801208496096,2,0,141.89999389648438
LAURUSLABS.NS,2021-09-14,651.1500244140625,2021-12-31,538.9000244140625,309.07801208496096,2,1,29.649993896484375
LAURUSLABS.NS,2022-01-28,499.79998779296875,2022-02-17,549.2999877929688,309.07801208496096,3,1,79.14999389648438
LAURUSLABS.NS,2022-05-13,538.3499755859375,2022-08-03,522.25,309.07801208496096,3,2,63.050018310546875
LTIM.NS,2021-03-02,3832.800048828125,2021-03-31,4054.300048828125,4518.508403320312,1,0,221.5
LTIM.NS,2021-05-10,3665.449951171875,2021-06-17,4170.2001953125,4518.508403320312,2,0,726.250244140625
LTIM.NS,2022-01-28,5911.5498046875,2022-03-30,6310.35009765625,4518.508403320312,3,0,1125.050537109375
LTIM.NS,2022-04-20,5170.2998046875,2022-07-27,4412.89990234375,4518.508403320312,3,1,367.650634765625
LTIM.NS,2022-09-21,4410.89990234375,2022-10-25,4809.7001953125,4518.508403320312,4,1,766.450927734375
LTIM.NS,2022-12-14,4443.14990234375,2023-02-09,4695.64990234375,4518.508403320312,5,1,1018.950927734375
GSPL.NS,2020-07-29,203.25,2020-12-01,227.85000610351562,280.8630120849609,1,0,24.600006103515625
GSPL.NS,2021-01-22,202.60000610351562,2021-02-19,248.6999969482422,280.8630120849609,2,0,70.69999694824219
GSPL.NS,2021-04-30,269.6499938964844,2021-05-21,271.79998779296875,280.8630120849609,3,0,72.84999084472656
GSPL.NS,2021-09-22,313.3500061035156,2022-01-21,312.95001220703125,280.8630120849609,3,1,72.44999694824219
GSPL.NS,2022-02-16,292.0,2022-04-29,261.95001220703125,280.8630120849609,3,2,42.40000915527344
GSPL.NS,2022-05-10,253.6999969482422,2022-08-05,235.5500030517578,280.8630120849609,3,3,24.250015258789062
GSPL.NS,2022-10-07,225.75,2022-11-23,237.85000610351562,280.8630120849609,4,3,36.35002136230469
GSPL.NS,2023-02-09,260.04998779296875,2023-03-01,286.54998779296875,280.8630120849609,5,3,62.85002136230469
MPHASIS.NS,2020-11-20,1315.3499755859375,2020-12-23,1575.6500244140625,1835.46,1,0,260.300048828125
MPHASIS.NS,2021-12-06,3022.85009765625,2022-01-05,3313.550048828125,1835.46,2,0,551.0
MPHASIS.NS,2022-02-01,3146.949951171875,2022-03-16,3098.0,1835.46,2,1,502.050048828125
MPHASIS.NS,2022-04-26,2767.5,2022-08-16,2353.75,1835.46,2,2,88.300048828125
MPHASIS.NS,2022-09-07,2083.949951171875,2022-12-22,1989.1500244140625,1835.46,2,3,-6.4998779296875
MPHASIS.NS,2022-12-29,1931.5999755859375,2023-01-23,2058.800048828125,1835.46,3,3,120.7001953125
BAYERCROP.NS,2020-08-05,5524.7998046875,2020-08-14,6067.85009765625,4138.348403320312,1,0,543.05029296875
BAYERCROP.NS,2020-08-21,5886.89990234375,2020-08-24,5986.7998046875,4138.348403320312,2,0,642.9501953125
BAYERCROP.NS,2020-10-13,5702.5498046875,2020-12-30,5490.4501953125,4138.348403320312,2,1,430.8505859375
BAYERCROP.NS,2021-02-16,5245.7001953125,2021-04-27,5405.75,4138.348403320312,3,1,590.900390625
BAYERCROP.NS,2021-08-30,5387.39990234375,2021-12-31,4965.2001953125,4138.348403320312,3,2,168.70068359375
BAYERCROP.NS,2022-02-16,4533.2001953125,2022-04-06,4884.9501953125,4138.348403320312,4,2,520.45068359375
BAYERCROP.NS,2022-05-17,4618.60009765625,2022-06-02,5311.39990234375,4138.348403320312,5,2,1213.25048828125
BAYERCROP.NS,2022-09-14,5175.5,2022-12-19,4793.89990234375,4138.348403320312,5,3,831.650390625
BAJFINANCE.NS,2020-09-30,3278.60009765625,2020-11-10,4208.5498046875,6195.370693359375,1,0,929.94970703125
BAJFINANCE.NS,2021-02-01,5058.60009765625,2021-02-09,5400.2998046875,6195.370693359375,2,0,1271.6494140625
BAJFINANCE.NS,2021-04-06,4993.10009765625,2021-05-18,5688.75,6195.370693359375,3,0,1967.29931640625
BAJFINANCE.NS,2021-11-12,7579.10009765625,2022-01-17,7852.60009765625,6195.370693359375,4,0,2240.79931640625
BAJFINANCE.NS,2022-02-14,6785.9501953125,2022-04-06,7346.9501953125,6195.370693359375,5,0,2801.79931640625
BAJFINANCE.NS,2022-05-10,5928.4501953125,2022-07-20,6074.39990234375,6195.370693359375,6,0,2947.7490234375
BAJFINANCE.NS,2022-10-24,7206.5,2023-02-24,6236.25,6195.370693359375,6,1,1977.4990234375
KANSAINER.NS,2020-10-16,501.8999938964844,2020-10-27,517.4000244140625,379.71448791503906,1,0,15.500030517578125
